Date,CasesGuinea,DeathsGuinea,CasesLib,DeathsLib,CasesSier,DeathsSier,TotalCases,TotalDeaths
4-13-16,3814,2544,10678,4810,14124,3956,28616,11310
3-30-16,3811,2543,10675,4809,14124,3956,28610,11308
3-23-16,3809,2540,10675,4809,14124,3956,28608,11305
3-3-16,3804,2536,10675,4809,14124,3956,28603,11301
2-17-16,3804,2536,10675,4809,14124,3956,28603,11301
2-10-16,3804,2536,10675,4809,14124,3956,28603,11301
2-3-16,3804,2536,10675,4809,14124,3956,28603,11301
1-27-16,3804,2536,10675,4809,14124,3956,28603,11301
1-20-16,3804,2536,10675,4809,14123,3956,28602,11301
1-13-16,3804,2536,10675,4809,14122,3955,28601,11300
1-6-16,3804,2536,10675,4809,14122,3955,28601,11300
12-30-15,3804,2536,10675,4809,14122,3955,28601,11300
12-29-15,3804,2536,10675,4809,14122,3955,28601,11300
12-28-15,3804,2536,10675,4809,14122,3955,28601,11300
12-25-15,3805,2536,10675,4809,14122,3955,28602,11300
12-24-15,3804,2536,10675,4809,14122,3955,28601,11300
12-23-15,3804,2536,10675,4809,14122,3955,28601,11300
12-22-15,3804,2536,10675,4809,14122,3955,28601,11300
12-21-15,3804,2536,10675,4809,14122,3955,28601,11300
12-18-15,3804,2536,10675,4809,14122,3955,28601,11300
12-17-15,3805,2536,10675,4809,14122,3955,28602,11300
12-16-15,3807,2536,10675,4809,14122,3955,28604,11300
12-15-15,3807,2536,10675,4809,14122,3955,28604,11300
12-14-15,3806,2536,10675,4809,14122,3955,28603,11300
12-11-15,3804,2536,10675,4809,14122,3955,28601,11300
12-10-15,3804,2536,10675,4809,14122,3955,28601,11300
12-9-15,3804,2536,10675,4809,14122,3955,28601,11300
12-8-15,3804,2536,10675,4809,14122,3955,28601,11300
12-7-15,3804,2536,10675,4809,14122,3955,28601,11300
12-4-15,3805,2536,10675,4809,14122,3955,28602,11300
12-3-15,3805,2536,10675,4809,14122,3955,28602,11300
12-2-15,3804,2536,10675,4809,14122,3955,28601,11300
12-1-15,3804,2536,10675,4808,14122,3955,28601,11299
11-30-15,3804,2536,10675,4808,14122,3955,28601,11299
11-27-15,3804,2536,10675,4808,14122,3955,28601,11299
11-26-15,3804,2536,10675,4808,14122,3955,28601,11299
11-25-15,3804,2536,10675,4808,14122,3955,28601,11299
11-24-15,3804,2536,10672,4808,14122,3955,28598,11299
11-23-15,3804,2536,10672,4808,14122,3955,28598,11299
11-20-15,3804,2536,10672,4808,14122,3955,28598,11299
11-19-15,3806,2536,10672,4808,14122,3955,28600,11299
